image_name,relative_path,crime_class,stored_mode,color_type,mean_channel_difference,p95_channel_difference,max_channel_difference
D016-121.png,D016-121.png,UCF Image Dataset,RGBA,rgb,12.6839,39.0,103
D017-047.png,D017-047.png,UCF Image Dataset,RGBA,rgb,10.3084,14.0,119
D019-008.png,D019-008.png,UCF Image Dataset,RGBA,rgb,12.3197,37.0,119
D020-114.png,D020-114.png,UCF Image Dataset,RGBA,rgb,10.3995,32.0,172
D021-040.png,D021-040.png,UCF Image Dataset,RGBA,rgb,6.627,13.0,83
D022-114.png,D022-114.png,UCF Image Dataset,RGBA,visual_grayscale,0.0,0.0,0
D026-037.png,D026-037.png,UCF Image Dataset,RGBA,rgb,30.728,55.0,75
D027-036.png,D027-036.png,UCF Image Dataset,RGBA,rgb,10.2615,26.0,84
D031-112.png,D031-112.png,UCF Image Dataset,RGBA,rgb,15.0065,51.0,149
D045-215.png,D045-215.png,UCF Image Dataset,RGBA,rgb,27.7825,68.0,130
D046-053.png,D046-053.png,UCF Image Dataset,RGBA,rgb,9.6414,25.0,103
D048-025.png,D048-025.png,UCF Image Dataset,RGBA,visual_grayscale,0.0345,0.0,4
E002-010.png,E002-010.png,UCF Image Dataset,RGBA,rgb,15.3734,31.0,76
E004-005.png,E004-005.png,UCF Image Dataset,RGBA,rgb,8.5412,20.0,96
E010-008.png,E010-008.png,UCF Image Dataset,RGBA,rgb,22.8296,58.0,100
E011-009.png,E011-009.png,UCF Image Dataset,RGBA,rgb,18.7777,49.0,92
E012-009.png,E012-009.png,UCF Image Dataset,RGBA,rgb,22.1258,31.0,202
E013-015.png,E013-015.png,UCF Image Dataset,RGBA,rgb,14.565,50.0,121
E019-027.png,E019-027.png,UCF Image Dataset,RGBA,rgb,10.0861,25.0,115
E020-022.png,E020-022.png,UCF Image Dataset,RGBA,rgb,14.4038,25.0,105
E021-002.png,E021-002.png,UCF Image Dataset,RGBA,rgb,7.3708,19.0,33
E027-003.png,E027-003.png,UCF Image Dataset,RGBA,rgb,10.1294,25.0,114
E028-016.png,E028-016.png,UCF Image Dataset,RGBA,rgb,17.5223,48.0,151
E029-004.png,E029-004.png,UCF Image Dataset,RGBA,rgb,16.9038,37.0,172
E030-036.png,E030-036.png,UCF Image Dataset,RGBA,rgb,7.7496,18.0,41
E031-002.png,E031-002.png,UCF Image Dataset,RGBA,rgb,10.2419,28.0,154
E032-020.png,E032-020.png,UCF Image Dataset,RGBA,rgb,20.8504,50.0,177
E034-008.png,E034-008.png,UCF Image Dataset,RGBA,rgb,10.0219,24.0,49
E035-002.png,E035-002.png,UCF Image Dataset,RGBA,rgb,11.4989,24.0,47
E039-002.png,E039-002.png,UCF Image Dataset,RGBA,rgb,9.3549,20.0,86
E075-004.png,E075-004.png,UCF Image Dataset,RGBA,rgb,8.1725,20.0,55
E127-113.png,E127-113.png,UCF Image Dataset,RGBA,rgb,20.7396,80.0,159
E145-014.png,E145-014.png,UCF Image Dataset,RGBA,rgb,6.7462,13.0,51
E146-014.png,E146-014.png,UCF Image Dataset,RGBA,rgb,29.5765,74.0,110
F004-022.png,F004-022.png,UCF Image Dataset,RGBA,rgb,7.1146,17.0,24
F011-109.png,F011-109.png,UCF Image Dataset,RGBA,rgb,6.4255,19.0,100
F013-030.png,F013-030.png,UCF Image Dataset,RGBA,visual_grayscale,0.7307,3.0,12
F014-310.png,F014-310.png,UCF Image Dataset,RGBA,rgb,16.0822,42.0,98
F017-021.png,F017-021.png,UCF Image Dataset,RGBA,rgb,8.8845,19.0,41
F018-029.png,F018-029.png,UCF Image Dataset,RGBA,rgb,15.4202,53.0,130
F019-037.png,F019-037.png,UCF Image Dataset,RGBA,rgb,25.2604,60.0,87
F020-208.png,F020-208.png,UCF Image Dataset,RGBA,rgb,16.7241,44.0,126
F022-137.png,F022-137.png,UCF Image Dataset,RGBA,rgb,17.152,48.0,120
F023-012.png,F023-012.png,UCF Image Dataset,RGBA,visual_grayscale,0.6933,2.0,131
F025-045.png,F025-045.png,UCF Image Dataset,RGBA,rgb,8.0288,20.0,48
F026-002.png,F026-002.png,UCF Image Dataset,RGBA,visual_grayscale,0.0,0.0,0
F028-009.png,F028-009.png,UCF Image Dataset,RGBA,rgb,16.1648,33.0,137
F030-024.png,F030-024.png,UCF Image Dataset,RGBA,visual_grayscale,0.0456,0.0,5
F031-045.png,F031-045.png,UCF Image Dataset,RGBA,rgb,18.4906,66.0,140
F033-430.png,F033-430.png,UCF Image Dataset,RGBA,rgb,5.8906,24.0,129
F036-121.png,F036-121.png,UCF Image Dataset,RGBA,rgb,10.8966,29.0,43
F039-023.png,F039-023.png,UCF Image Dataset,RGBA,rgb,7.7236,26.0,113
F041-019.png,F041-019.png,UCF Image Dataset,RGBA,rgb,19.6891,40.0,175
F048-048.png,F048-048.png,UCF Image Dataset,RGBA,rgb,18.9596,57.0,136
F050-056.png,F050-056.png,UCF Image Dataset,RGBA,rgb,7.7318,18.0,154
F054-005.png,F054-005.png,UCF Image Dataset,RGBA,rgb,9.4489,36.0,127
G001-101.png,G001-101.png,UCF Image Dataset,RGBA,rgb,14.8686,43.0,158
G005-028.png,G005-028.png,UCF Image Dataset,RGBA,rgb,12.1313,30.0,49
G008-253.png,G008-253.png,UCF Image Dataset,RGBA,rgb,15.3322,43.0,84
G009-227.png,G009-227.png,UCF Image Dataset,RGBA,rgb,14.83,44.0,141
G010-028.png,G010-028.png,UCF Image Dataset,RGBA,rgb,24.0255,61.0,119
G015-110.png,G015-110.png,UCF Image Dataset,RGBA,rgb,15.8555,46.0,106
G016-023.png,G016-023.png,UCF Image Dataset,RGBA,rgb,19.6651,60.0,113
G017-013.png,G017-013.png,UCF Image Dataset,RGBA,rgb,14.685,32.0,72
G019-009.png,G019-009.png,UCF Image Dataset,RGBA,rgb,27.8198,69.0,167
G020-119.png,G020-119.png,UCF Image Dataset,RGBA,rgb,12.8775,50.0,102
G021-111.png,G021-111.png,UCF Image Dataset,RGBA,rgb,13.755,24.0,41
G029-038.png,G029-038.png,UCF Image Dataset,RGBA,rgb,15.0898,38.0,92
G031-007.png,G031-007.png,UCF Image Dataset,RGBA,rgb,13.214,31.0,83
G040-445.png,G040-445.png,UCF Image Dataset,RGBA,rgb,22.074,85.0,155
G042-129.png,G042-129.png,UCF Image Dataset,RGBA,rgb,15.7286,38.0,174
G044-612.png,G044-612.png,UCF Image Dataset,RGBA,rgb,11.5875,38.0,117
G048-008.png,G048-008.png,UCF Image Dataset,RGBA,rgb,27.2097,75.0,146
G049-036.png,G049-036.png,UCF Image Dataset,RGBA,rgb,11.9491,51.0,92
G052-133.png,G052-133.png,UCF Image Dataset,RGBA,rgb,19.4754,53.0,85
H001-042.png,H001-042.png,UCF Image Dataset,RGBA,rgb,25.11,44.0,67
H008-146.png,H008-146.png,UCF Image Dataset,RGBA,rgb,25.9964,60.0,119
H010-113.png,H010-113.png,UCF Image Dataset,RGBA,rgb,11.7807,29.0,104
H011-037.png,H011-037.png,UCF Image Dataset,RGBA,rgb,8.6295,24.0,57
H012-020.png,H012-020.png,UCF Image Dataset,RGBA,rgb,8.1965,23.0,105
H013-115.png,H013-115.png,UCF Image Dataset,RGBA,rgb,8.971,38.0,110
H014-005.png,H014-005.png,UCF Image Dataset,RGBA,rgb,3.8018,12.0,40
H015-113.png,H015-113.png,UCF Image Dataset,RGBA,rgb,6.6365,14.0,33
H017-011.png,H017-011.png,UCF Image Dataset,RGBA,rgb,25.3678,87.0,138
H018-037.png,H018-037.png,UCF Image Dataset,RGBA,rgb,11.05,29.0,79
H020-018.png,H020-018.png,UCF Image Dataset,RGBA,visual_grayscale,2.1408,3.0,6
H022-144.png,H022-144.png,UCF Image Dataset,RGBA,rgb,29.4058,57.0,104
H023-301.png,H023-301.png,UCF Image Dataset,RGBA,visual_grayscale,2.9343,4.0,8
H024-023.png,H024-023.png,UCF Image Dataset,RGBA,rgb,5.2064,14.0,34
H026-018.png,H026-018.png,UCF Image Dataset,RGBA,rgb,22.4085,43.0,68
H027-015.png,H027-015.png,UCF Image Dataset,RGBA,visual_grayscale,2.8812,4.0,6
H028-123.png,H028-123.png,UCF Image Dataset,RGBA,visual_grayscale,0.0,0.0,0
H031-028.png,H031-028.png,UCF Image Dataset,RGBA,rgb,11.8222,33.0,74
H033-019.png,H033-019.png,UCF Image Dataset,RGBA,rgb,15.246,48.0,98
H034-044.png,H034-044.png,UCF Image Dataset,RGBA,rgb,14.5211,43.0,91
H035-013.png,H035-013.png,UCF Image Dataset,RGBA,rgb,14.1291,36.0,134
H036-022.png,H036-022.png,UCF Image Dataset,RGBA,rgb,17.6266,60.0,130
H040-008.png,H040-008.png,UCF Image Dataset,RGBA,rgb,16.1028,59.0,120
H042-138.png,H042-138.png,UCF Image Dataset,RGBA,visual_grayscale,2.0034,3.0,13
H043-140.png,H043-140.png,UCF Image Dataset,RGBA,rgb,17.2812,42.0,160
H048-206.png,H048-206.png,UCF Image Dataset,RGBA,rgb,25.737,72.0,138
H049-208.png,H049-208.png,UCF Image Dataset,RGBA,rgb,5.597,16.0,34
